NCM	Início de vigência da NCM	Fim de vigência da NCM	uTrib para uso em operações de Exportação (Abreviatura)	Descrição da uTrib utilizada em operações de Exportação
07102200	42370	48		Quilograma
07102900	42370	48		Quilograma
07103000	42370	48		Quilograma
07104000	42370	48		Quilograma
07108000	42370	48		Quilograma
07109000	42370	48		Quilograma
07112010	42370	48		Quilograma
07112020	42370	48		Quilograma
07112090	42370	48		Quilograma
07114000	42370	48		Quilograma
07115100	42370	48		Quilograma
07115900	42370	48		Quilograma
07119000	42370	48		Quilograma
07122000	42370	48		Quilograma
07123100	42370	48		Quilograma
07123200	42370	48		Quilograma
07123300	42370	48		Quilograma
07123400	44652	48		Quilograma
07123900	42370	48		Quilograma
07129020	45659	48		Quilograma
07129090	42370	48		Quilograma
07131010	42370	48		Quilograma
07131090	42370	48		Quilograma
07132010	42370	48		Quilograma
07132090	42370	48		Quilograma
07133110	42370	48		Quilograma
07133190	42370	48		Quilograma
07133210	42370	48		Quilograma
07133290	42370	48		Quilograma
07133311	42370	48		Quilograma
07133319	42370	48		Quilograma
07133321	42370	48		Quilograma
07133329	42370	48		Quilograma
07133391	42370	48		Quilograma
07133399	42370	48		Quilograma
07133410	42370	48		Quilograma
07133490	42370	48		Quilograma
07133510	42370	48		Quilograma
07133590	42370	48		Quilograma
07133910	42370	48		Quilograma
07133990	42370	48		Quilograma
07134010	42370	48		Quilograma
07134090	42370	48		Quilograma
07135010	42370	48		Quilograma
07135090	42370	48		Quilograma
07136010	42370	48		Quilograma
07136090	42370	48		Quilograma
07139010	42370	48		Quilograma
07139090	42370	48		Quilograma
07141000	42370	48		Quilograma
07142000	42370	48		Quilograma
07143000	42370	48		Quilograma
07144000	42370	48		Quilograma
07145000	42370	48		Quilograma
07149000	42370	48		Quilograma
08011100	42370	48		Quilograma
08011200	42370	48		Quilograma
08011900	42370	48		Quilograma
08012100	42370	48		Quilograma
08012200	42370	48		Quilograma
08013100	42370	48		Quilograma
08013200	42370	48		Quilograma
