CFOP	Início de vigência	Fim de vigência	indNFe	indComunica	indTransp	indDevol	indRetor	indAnula	indRemes	indComb
6113	38718	1		0	0	0	0	0	0	0
6114	38718	1		0	0	0	0	0	0	0
6115	38718	1		0	0	0	0	0	0	0
6116	38718	1		0	0	0	0	0	0	0
6117	38718	1		0	0	0	0	0	0	0
6118	38718	1		0	0	0	0	0	0	0
6119	38718	1		0	0	0	0	0	0	0
6120	38718	1		0	0	0	0	0	0	0
6122	38718	1		0	0	0	0	0	0	0
6123	38718	1		0	0	0	0	0	0	0
6124	38718	1		0	0	0	0	0	0	0
6125	38718	1		0	0	0	0	0	0	0
6129	38718	1		0	0	0	0	0	0	0
6131	43101	1		0	0	0	0	0	0	0
6132	43101	1		0	0	0	0	0	0	0
6151	38718	1		0	0	0	0	0	0	0
6152	38718	1		0	0	0	0	0	0	0
6153	38718	1		0	0	0	0	0	0	0
6155	38718	1		0	0	0	0	0	0	0
6156	38718	1		0	0	0	0	0	0	0
6159	43344	1		0	0	0	0	0	0	0
6160	43344	1		0	0	0	0	0	0	0
6201	38718	1		0	0	1	0	0	0	0
6202	38718	1		0	0	1	0	0	0	0
6205	38718	1		0	0	0	0	1	0	0
6206	38718	1		0	0	0	0	1	0	0
6207	38718	1		0	0	0	0	1	0	0
6208	38718	1		0	0	1	0	0	0	0
6209	38718	1		0	0	1	0	0	0	0
6210	38718	1		0	0	1	0	0	0	0
6213	43101	1		0	0	1	0	0	0	0
6214	43101	1		0	0	1	0	0	0	0
6215	43101	1		0	0	1	0	0	0	0
6216	43586	1		0	0	1	0	0	0	0
6251	38718	1		0	0	0	0	0	0	0
6252	38718	1		0	0	0	0	0	0	0
6253	38718	1		0	0	0	0	0	0	0
6254	38718	1		0	0	0	0	0	0	0
6255	38718	1		0	0	0	0	0	0	0
6256	38718	1		0	0	0	0	0	0	0
6257	38718	1		0	0	0	0	0	0	0
6258	38718	1		0	0	0	0	0	0	0
6301	38718	0		1	0	0	0	0	0	0
6302	38718	0		1	0	0	0	0	0	0
6303	38718	0		1	0	0	0	0	0	0
6304	38718	0		1	0	0	0	0	0	0
6305	38718	0		1	0	0	0	0	0	0
6306	38718	0		1	0	0	0	0	0	0
6307	38718	0		1	0	0	0	0	0	0
6351	38718	0		0	1	0	0	0	0	0
6352	38718	0		0	1	0	0	0	0	0
6353	38718	0		0	1	0	0	0	0	0
6354	38718	0		0	1	0	0	0	0	0
6355	38718	0		0	1	0	0	0	0	0
6356	38718	0		0	1	0	0	0	0	0
6357	38718	0		0	1	0	0	0	0	0
6359	38718	0		0	1	0	0	0	0	0
6360	38718	0		0	1	0	0	0	0	0
6401	38718	1		0	0	0	0	0	0	0
6402	38718	1		0	0	0	0	0	0	0
6403	38718	1		0	0	0	0	0	0	0
6404	38718	1		0	0	0	0	0	0	0
6408	38718	1		0	0	0	0	0	0	0
6409	38718	1		0	0	0	0	0	0	0
6410	38718	1		0	0	1	0	0	0	0
6411	38718	1		0	0	1	0	0	0	0
6412	38718	1		0	0	1	0	0	0	0
6413	38718	1		0	0	1	0	0	0	0
6414	38718	1		0	0	0	0	0	1	0
6415	38718	1		0	0	0	0	0	1	0
6451	43800	1		0	0	0	0	0	1	0
6452	43800	1		0	0	0	0	0	1	0
6453	43800	1		0	0	0	1	0	0	0
6454	43800	1		0	0	0	1	0	0	0
6455	43800	1		0	0	0	1	0	0	0
6456	43800	1		0	0	0	0	0	0	0
6501	38718	1		0	0	0	0	0	1	0
6502	38718	1		0	0	0	0	0	1	0
6503	38718	1		0	0	1	0	0	0	0
6504	38718	1		0	0	0	0	0	1	0
6505	38718	1		0	0	0	0	0	1	0
6551	38718	1		0	0	0	0	0	0	0
6552	38718	1		0	0	0	0	0	0	0
6553	38718	1		0	0	1	0	0	0	0
6554	38718	1		0	0	0	0	0	1	0
6555	38718	1		0	0	1	0	0	0	0
6556	38718	1		0	0	1	0	0	0	0
6557	38718	1		0	0	0	0	0	0	0
6603	38718	1		0	0	0	0	0	0	0
6651	38718	1		0	0	0	0	0	0	2
6652	38718	1		0	0	0	0	0	0	2
6653	38718	1		0	0	0	0	0	0	2
6654	38718	1		0	0	0	0	0	0	2
6655	38718	1		0	0	0	0	0	0	2
6656	38718	1		0	0	0	0	0	0	2
6657	38718	1		0	0	0	0	0	1	2
6658	38718	1		0	0	0	0	0	0	2
6659	38718	1		0	0	0	0	0	0	2
6660	38718	1		0	0	1	0	0	0	2
6661	38718	1		0	0	1	0	0	0	2
6662	38718	1		0	0	1	0	0	0	2
6663	38718	1		0	0	0	0	0	1	1
6664	38718	1		0	0	0	1	0	0	1
6665	38718	1		0	0	0	1	0	0	1
6666	38718	1		0	0	0	0	0	1	2
6667	38718	1		0	0	0	0	0	0	2
6901	38718	1		0	0	0	0	0	1	0
6902	38718	1		0	0	0	1	0	0	0
6903	38718	1		0	0	0	1	0	0	0
6904	38718	1		0	0	0	0	0	1	0
6905	38718	1		0	0	0	0	0	1	0
6906	38718	1		0	0	0	1	0	0	0
6907	38718	1		0	0	0	1	0	0	0
6908	38718	1		0	0	0	0	0	1	0
6909	38718	1		0	0	0	1	0	0	0
6910	38718	1		0	0	0	0	0	1	0
6911	38718	1		0	0	0	0	0	1	0
6912	38718	1		0	0	0	0	0	1	0
6913	38718	1		0	0	0	1	0	0	0
6914	38718	1		0	0	0	0	0	1	0
6915	38718	1		0	0	0	0	0	1	0
6916	38718	1		0	0	0	1	0	0	0
6917	38718	1		0	0	0	0	0	1	0
6918	38718	1		0	0	1	0	0	0	0
6919	38718	1		0	0	1	0	0	0	0
6920	38718	1		0	0	0	0	0	1	0
6921	38718	1		0	0	1	0	0	0	0
6922	38718	1		0	0	0	0	0	0	0
6923	38718	1		0	0	0	0	0	1	0
6924	38718	1		0	0	0	0	0	1	0
6925	38718	1		0	0	0	1	0	0	0
6929	38718	1		0	0	0	0	0	0	0
6931	38718	1		0	1	0	0	0	0	0
6932	38718	1		0	1	0	0	0	0	0
6933	38718	1		0	0	0	0	0	0	0
6934	38718	1		0	0	0	0	0	1	0
6949	38718	1		0	0	0	0	0	0	0
7101	38718	1		0	0	0	0	0	0	0
7102	38718	1		0	0	0	0	0	0	0
7105	38718	1		0	0	0	0	0	0	0
7106	38718	1		0	0	0	0	0	0	0
7127	38718	1		0	0	0	0	0	0	0
7129	38718	1		0	0	0	0	0	0	0
7201	38718	1		0	0	1	0	0	0	0
7202	38718	1		0	0	1	0	0	0	0
7205	38718	1		0	0	0	0	1	0	0
7206	38718	1		0	0	0	0	1	0	0
7207	38718	1		0	0	0	0	1	0	0
7210	38718	1		0	0	1	0	0	0	0
7211	38718	1		0	0	1	0	0	0	0
7212	38718	1		0	0	1	0	0	0	0
7251	38718	1		0	0	0	0	0	0	0
7301	38718	0		1	0	0	0	0	0	0
7358	38718	0		0	1	0	0	0	0	0
7501	38718	1		0	0	0	0	0	0	0
7504	43344	1		0	0	0	0	0	0	0
7551	38718	1		0	0	0	0	0	0	0
7552	44348	1		0	0	0	0	0	0	0
7553	38718	1		0	0	1	0	0	0	0
7556	38718	1		0	0	1	0	0	0	0
7651	38718	1		0	0	0	0	0	0	2
7654	38718	1		0	0	0	0	0	0	2
7667	38718	1		0	0	0	0	0	0	2
7930	38718	1		0	0	0	0	0	0	0
7949	38718	1		0	0	0	0	0	0	0
