category	filename	status	url	title	published	version	doc_key	size	updated_at
notas-tecnicas	Nota Técnica 2018.002 - v.1.00 - Publicada em 23-04-2018.pdf	OK	https://www.nfe.fazenda.gov.br/portal/exibirArquivo.aspx?conteudo=HAYP6dvLy7I=	Nota Técnica 2018.002 - v.1.00 - Publicada em 23/04/2018	23-04-2018	1.00	nota-tecnica:2018.002	335845	2026-06-22T16:51:20.983Z
notas-tecnicas	Nota Técnica 2018.003 - v.1.01 - Publicada em 12-04-2019.pdf	OK	https://www.nfe.fazenda.gov.br/portal/exibirArquivo.aspx?conteudo=gHRm/SYAvM0=	Nota Técnica 2018.003 - v.1.01 - Publicada em 12/04/2019	12-04-2019	1.01	nota-tecnica:2018.003	216086	2026-06-22T16:51:20.983Z
notas-tecnicas	Nota Técnica 2018.004 - v.1.00 - Publicada em 21-12-2018.pdf	OK	https://www.nfe.fazenda.gov.br/portal/exibirArquivo.aspx?conteudo=DEisbx2XCIs=	Nota Técnica 2018.004 - v.1.00 - Publicada em 21/12/2018	21-12-2018	1.00	nota-tecnica:2018.004	709017	2026-06-22T16:51:20.983Z
notas-tecnicas	Nota Técnica 2018.005 v.1.52 - Publicada em 10-07-2025.pdf	OK	https://www.nfe.fazenda.gov.br/portal/exibirArquivo.aspx?conteudo=vZguLua3oPM=	Nota Técnica 2018.005 v.1.52 - Publicada em 10/07/2025	10-07-2025	1.52	nota-tecnica:2018.005	787598	2026-06-22T16:51:20.983Z
notas-tecnicas	Nota Técnica 2019.001.v.1.70 - Publicada em 18-08-2025.pdf	OK	https://www.nfe.fazenda.gov.br/portal/exibirArquivo.aspx?conteudo=suszdTDFNOk=	Nota Técnica 2019.001.v.1.70 - Publicada em 18/08/2025	18-08-2025	1.70	nota-tecnica:2019.001	744069	2026-06-22T16:51:20.983Z
notas-tecnicas	Nota Técnica 2020.001 v.1.60 - Publicada em 23-04-2026.pdf	OK	https://www.nfe.fazenda.gov.br/portal/exibirArquivo.aspx?conteudo=%20WTd7iuD21s=	Nota Técnica 2020.001 v.1.60 - Publicada em 23/04/2026	23-04-2026	1.60	nota-tecnica:2020.001	1026288	2026-06-22T16:51:20.983Z
notas-tecnicas	Nota Técnica 2020.002 - v.1.01 - Publicada em 19-08-2022.pdf	OK	https://www.nfe.fazenda.gov.br/portal/exibirArquivo.aspx?conteudo=zRz9Xc658tM=	Nota Técnica 2020.002 - v.1.01 - Publicada em 19/08/2022	19-08-2022	1.01	nota-tecnica:2020.002	526916	2026-06-22T16:51:20.983Z
notas-tecnicas	Nota Técnica 2020.003 - v.1.00 - Publicada em 25-06-2020.pdf	OK	https://www.nfe.fazenda.gov.br/portal/exibirArquivo.aspx?conteudo=VbDaS9t%20yUE=	Nota Técnica 2020.003 - v.1.00 - Publicada em 25/06/2020	25-06-2020	1.00	nota-tecnica:2020.003	439265	2026-06-22T16:51:20.983Z
notas-tecnicas	Nota Técnica 2020.004 - v.1.10 - Publicada em 19-08-2024.pdf	OK	https://www.nfe.fazenda.gov.br/portal/exibirArquivo.aspx?conteudo=6VJK0RTUooA=	Nota Técnica 2020.004 - v.1.10 - Publicada em 19/08/2024	19-08-2024	1.10	nota-tecnica:2020.004	283581	2026-06-22T16:51:20.983Z
notas-tecnicas	Nota Técnica 2020.005 - v.1.21 - Publicada em 15-10-2021.pdf	OK	https://www.nfe.fazenda.gov.br/portal/exibirArquivo.aspx?conteudo=vcqS7b0oTnU=	Nota Técnica 2020.005 - v.1.21 - Publicada em 15/10/2021	15-10-2021	1.21	nota-tecnica:2020.005	524805	2026-06-22T16:51:20.983Z
notas-tecnicas	Nota Técnica 2020.006 - v.1.31 - Publicada em 26-09-2022.pdf	OK	https://www.nfe.fazenda.gov.br/portal/exibirArquivo.aspx?conteudo=/RFndRUpZJw=	Nota Técnica 2020.006 - v.1.31 - Publicada em 26/09/2022	26-09-2022	1.31	nota-tecnica:2020.006	631533	2026-06-22T16:51:20.983Z
notas-tecnicas	Nota Técnica 2020.007 v.1.40 - Publicada em 02-08-2024.pdf	OK	https://www.nfe.fazenda.gov.br/portal/exibirArquivo.aspx?conteudo=E1nOtSqZmEI=	Nota Técnica 2020.007 v.1.40 - Publicada em 02/08/2024	02-08-2024	1.40	nota-tecnica:2020.007	503196	2026-06-22T16:51:20.983Z
notas-tecnicas	Nota Técnica 2021.001 - v.1.01 - Publicada em 06-07-2022.pdf	OK	https://www.nfe.fazenda.gov.br/portal/exibirArquivo.aspx?conteudo=JBybnXaa1QU=	Nota Técnica 2021.001 - v.1.01 - Publicada em 06/07/2022	06-07-2022	1.01	nota-tecnica:2021.001	593627	2026-06-22T16:51:20.983Z
